id,sym,side,strategy,entry_price,exit_price,size,risk_usd,pnl,pnl_pct,fee,status,exit_stage,opened_at,closed_at
1776,BNB,SHORT,DONCH4H,569.0492340000001,569.290736,2.3929063926097323,28.757802161522527,4.4925390319625954,-0.00042439561565242096,1.0212611623112036,SL,1,2026-07-13 04:01:02.251512+00,2026-07-14 00:36:02.327+00
1777,NEAR,LONG,DONCH4H,1.9895967,1.988,342.4271782452661,69.78081131048135,36.326980581199656,-0.0008025244513122269,1.0219379757406397,TP,2,2026-07-14 08:00:03.586727+00,2026-07-16 22:57:02.405+00
1778,ENA,LONG,ROTA,0.08283484299999999,0.08290512100000001,4806.173853544332,,0.13854007364192406,0.0008484110967654135,0.19905932829452486,TP,0,2026-07-14 11:58:02.546406+00,2026-07-16 11:54:02.738+00
1779,XRP,LONG,DONCH4H,1.1045312600000001,1.10416865,1236.2325119992784,38.43424970872367,6.556075078638449,-0.0003282931077931112,1.024093090598646,SL,1,2026-07-14 16:00:04.06352+00,2026-07-15 01:43:02.477+00
1780,DOGE,LONG,DONCH4H,0.07423226299999999,0.07254822899999999,20419.234846114865,32.91534004095712,-35.12737539765258,-0.022686011875995227,0.7578830056777816,SL,0,2026-07-14 20:00:05.041238+00,2026-07-16 23:05:03.317+00
1781,NEAR,LONG,DONCH4H,2.080624,1.9934018,655.1490699964348,49.078717542676614,-57.79653088074252,-0.04192117364790554,0.681559439306131,SL,0,2026-07-15 12:01:02.407589+00,2026-07-16 22:41:02.138+00
1782,SOL,SHORT,ROTA,76.36708300000001,76.202854,6.871325483630211,,0.8666636065433706,0.0021505207944109367,0.26237154176420174,TP,0,2026-07-16 11:54:03.649004+00,2026-07-20 11:46:02.612+00
1783,AAVE,SHORT,DONCH4H,92.412268,92.51,4.087593535287933,35.91927055026102,18.30773802091307,-0.0010575652141770581,0.5666156838871439,TP,2,2026-07-16 16:00:05.413841+00,2026-07-21 03:55:02.71+00
1784,ADA,SHORT,DONCH4H,0.15865239,0.16354905,12794.615218070674,60.89709761531657,-63.69715413573341,-0.03086407963977093,1.014948141738642,SL,0,2026-07-17 08:00:03.346812+00,2026-07-17 15:40:02.275+00
1785,AAVE,SHORT,DONCH4H,87.883627,90.42712,22.978480776892663,56.890703458556686,-59.484543925975885,-0.028941602512604515,1.0097161168115527,SL,0,2026-07-18 08:01:02.363189+00,2026-07-19 00:53:02.813+00
1786,INJ,LONG,ROTA,5.0585171,5.1934415000000005,77.90422254145031,,10.30888497268566,0.026672717978950797,0.19703992094406594,TP,0,2026-07-18 11:50:03.050272+00,2026-07-22 11:42:02.644+00
1787,RUNE,LONG,ROTA,0.42582771,0.43646902,1482.538597072279,,15.452611714122996,0.02498970769187369,0.3156530078889506,TP,0,2026-07-18 11:50:03.162927+00,2026-07-22 11:42:02.825+00
1788,LINK,LONG,ROTA,8.2484738,8.577426,73.1187165348579,,23.738977475171637,0.0398803715664347,0.30155890881370107,TP,0,2026-07-18 11:50:03.260546+00,2026-07-22 11:42:02.673+00
1789,ENA,LONG,ROTA,0.081174345,0.07960611100000001,4602.385058391101,,-7.400805717572365,-0.019319330510150563,0.1867977962763422,SL,0,2026-07-18 11:50:03.35928+00,2026-07-20 11:46:02.544+00
1790,TIA,SHORT,ROTA,0.36369086,0.36420923,841.9870782958759,,-0.5897905745042703,-0.0014253038968314745,0.15311150230715723,SL,0,2026-07-18 11:50:03.462278+00,2026-07-20 11:46:02.514+00
1791,AXS,SHORT,ROTA,0.9317204000000001,0.9272781,621.7190327454106,,2.4736092374560115,0.0047678466630119085,0.2896341529385836,TP,0,2026-07-18 11:50:03.564358+00,2026-07-20 11:46:02.577+00
1792,OP,SHORT,ROTA,0.0959712,0.0960288,4452.470454869149,,-0.47024499560869215,-0.000600180054016111,0.21365446625916906,SL,0,2026-07-18 11:50:03.664292+00,2026-07-22 11:42:02.698+00
1793,WLD,SHORT,ROTA,0.38038585,0.37721312999999995,743.1804209053505,,2.2177346786526657,0.008340793959607259,0.14134765805471977,TP,0,2026-07-18 11:50:03.764751+00,2026-07-22 11:42:02.851+00
1794,LTC,LONG,ROTA,46.994094,46.38608,13.194981154313162,,-8.328764997269756,-0.012938093880477772,0.3100430923470106,SL,0,2026-07-20 11:46:02.815127+00,2026-07-22 11:42:02.928+00
1795,IMX,SHORT,ROTA,0.12516244,0.12763828,3377.2357258069774,,-8.577027578980154,-0.01978101417645724,0.21135153194858614,SL,0,2026-07-20 11:46:02.923066+00,2026-07-22 11:42:02.723+00
1796,BCH,SHORT,ROTA,212.406259,220.786216,2.260001466793529,,-19.188203697670577,-0.0394524956065442,0.24001922844806312,SL,0,2026-07-20 11:46:03.024337+00,2026-07-22 11:42:02.953+00
1797,ADA,SHORT,ROTA,0.16235128,0.17105130000000002,2921.8233827702697,,-25.66981271056572,-0.05358762801254188,0.23718088306334162,SL,0,2026-07-20 11:46:03.126354+00,2026-07-22 11:42:02.749+00
1798,BTC,LONG,DONCH4H,65589.77103,65541.2,0.010221176224352393,26.769560508193837,12.973653688092984,-0.0007405275127091174,1.0056069123188303,TP,2,2026-07-20 16:00:03.438755+00,2026-07-22 12:57:02.323+00
1799,XRP,LONG,DONCH4H,1.11263369,1.1344,602.5384762639655,29.741460257729386,28.16303645736378,0.019562871586245124,1.0056069123188303,TP,2,2026-07-20 16:00:03.470397+00,2026-07-22 05:22:02.073+00
1800,XRP,LONG,DONCH4H,1.1359406799999998,1.1347,156.73569436707896,7.467904843994068,3.5741001519508204,-0.0010922049204187072,0.2670636768594177,TP,2,2026-07-21 08:00:03.515622+00,2026-07-22 05:21:02.27+00
1801,BNB,LONG,DONCH4H,577.3931660000001,570.988652,0.9250669823806597,5.523872327433869,-6.188705814234366,-0.011092119507351533,0.2670636768594177,SL,0,2026-07-21 08:00:03.539179+00,2026-07-22 04:02:02.173+00
1802,BTC,LONG,DONCH4H,66668.49455,65721.07776,0.007551845063972943,6.472579978897613,-7.402902507427032,-0.014210862213027172,0.25173507074496226,SL,0,2026-07-21 16:00:02.942731+00,2026-07-22 07:38:02.222+00
1803,NEAR,SHORT,DONCH4H,1.8774366,,334.5484237696231,54.471713431091736,,,0.9421401828861008,OPEN,2,2026-07-22 08:01:02.565277+00,
1804,ENA,LONG,DONCH4H,0.092437723,0.089393174,22110.676729222087,65.41909444506916,-68.30531051133278,-0.03293621804163213,1.0219303054191886,SL,0,2026-07-22 20:00:03.752617+00,2026-07-23 13:15:02.936+00
1805,DOGE,SHORT,DONCH4H,0.069689087,0.06973091299999999,19419.562807261595,47.2452324138928,7.750125599110628,-0.0006001800540161304,1.0149987014829134,TP,1,2026-07-23 16:00:03.600357+00,2026-07-25 01:03:02.226+00
1806,LINK,SHORT,DONCH4H,8.489452400000001,,79.70664880441626,43.177502058620895,,,1.0149987014829134,OPEN,2,2026-07-23 16:00:03.593429+00,
1807,ETH,SHORT,DONCH4H,1893.801689,1895.178383,0.7146110439323923,39.62986297584735,6.055103215133723,-0.0007269472870345735,1.0149987014829134,TP,1,2026-07-23 16:00:03.626986+00,2026-07-24 07:10:02.734+00
1808,SOL,SHORT,DONCH4H,76.317098,76.392911,17.733006592798084,39.620779205989834,5.692514109661028,-0.0009933946911869812,1.0149987014829134,TP,1,2026-07-23 16:00:03.652546+00,2026-07-24 07:14:02.291+00
1809,SUI,SHORT,DONCH4H,0.7482754500000001,,904.3004163621949,48.49168771117434,,,1.0149987014829134,OPEN,2,2026-07-23 16:00:03.655423+00,
1810,LDO,LONG,ROTA,0.39831945999999996,,715.9390207474817,,,,0.14258622206853283,OPEN,0,2026-07-24 11:38:02.856612+00,
1811,UNI,LONG,ROTA,3.8481541,,89.21204693260302,,,,0.17165085208654435,OPEN,0,2026-07-24 11:38:03.102275+00,
1812,ETH,LONG,ROTA,1895.5684999999999,,0.296999343526918,,,,0.2814913000551523,OPEN,0,2026-07-24 11:38:03.199373+00,
1813,RUNE,LONG,ROTA,0.4291287,,1282.2823741393845,,,,0.27513208412367385,OPEN,0,2026-07-24 11:38:03.294036+00,
1814,FIL,SHORT,ROTA,0.73308001,,563.0248215082586,,,,0.2063711208907612,OPEN,0,2026-07-24 11:38:03.463189+00,
1815,IMX,SHORT,ROTA,0.12836148,,3486.3325822815227,,,,0.22375540501693902,OPEN,0,2026-07-24 11:38:03.631697+00,
1816,AXS,SHORT,ROTA,0.8987303000000001,,608.4198083456724,,,,0.27340265844022443,OPEN,0,2026-07-24 11:38:03.796482+00,
1817,TIA,SHORT,ROTA,0.34789559999999997,,869.0932777098401,,,,0.1511768636524157,OPEN,0,2026-07-24 11:38:03.963612+00,
1818,WLD,SHORT,DONCH4H,0.34669596,,3939.669353559645,96.76263009043075,,,1.0244005864612054,OPEN,1,2026-07-25 00:00:09.634758+00,
1819,NEAR,SHORT,DONCH4H,1.779466,,1151.1291307018992,56.7463676879133,,,1.0241975748467929,OPEN,0,2026-07-25 08:01:02.555899+00,
1820,AVAX,LONG,DONCH4H,6.7660292,,133.25765558512285,22.690212466583027,,,0.45081259440624216,OPEN,0,2026-07-26 04:00:04.496978+00,
